         466104169 function calls (439067109 primitive calls) in 1497.898 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   457107  942.244    0.002  942.244    0.002 {method 'control' of 'select.kqueue' objects}
26644277/290890   55.018    0.000  166.135    0.001 dataclasses.py:1016(_asdict_inner)
22332435/21669096   34.230    0.000   54.209    0.000 copy.py:132(deepcopy)
  1648140   22.217    0.000   22.218    0.000 {method 'format' of 'str' objects}
 89612263   21.437    0.000   21.599    0.000 {built-in method builtins.isinstance}
  1070626   21.241    0.000   21.241    0.000 decoder.py:343(raw_decode)
   494565   15.812    0.000   15.812    0.000 {method 'read' of '_ssl._SSLSocket' objects}
 26935167   15.661    0.000   26.109    0.000 dataclasses.py:981(_is_dataclass_instance)
  1260042   15.373    0.000   85.157    0.000 client_ws.py:180(receive)
   258770   15.070    0.000   15.070    0.000 {method 'recv' of '_socket.socket' objects}
   287074   13.866    0.000   15.278    0.000 http_websocket.py:386(parse_frame)
 14043080   12.282    0.000  104.298    0.000 dataclasses.py:1026(<genexpr>)
   287074   11.098    0.000   39.848    0.000 http_websocket.py:275(_feed_data)
   457055    9.519    0.000 1498.324    0.003 base_events.py:1662(_run_once)
 48260482    8.201    0.000    8.201    0.000 {method 'get' of 'dict' objects}
   189416    7.887    0.000  250.371    0.001 __init__.py:209(connect)
  2141836    7.130    0.000   23.164    0.000 base_events.py:646(call_at)
   119591    6.261    0.000   12.168    0.000 parser.py:121(_generate_pattern_re)
  2541746    5.999    0.000    7.640    0.000 events.py:39(__init__)
   457055    5.761    0.000  949.306    0.002 selectors.py:553(select)
   207501    5.061    0.000   23.339    0.000 sslproto.py:157(feed_ssldata)
  1070639    4.951    0.000   21.055    0.000 __init__.py:68(_do_enter)
  2323005    4.926    0.000    4.926    0.000 {method 'match' of 're.Pattern' objects}
    92136    4.666    0.000    4.666    0.000 {method 'decompress' of 'zlib.Decompress' objects}
  1260050    4.560    0.000    8.153    0.000 streams.py:569(read)
26947960/26947926    4.439    0.000    4.443    0.000 {built-in method builtins.hasattr}
   835579    4.374    0.000   21.701    0.000 bitfinex.py:76(dispatch_ws_msg)
  2141820    4.320    0.000    8.756    0.000 events.py:154(cancel)
  2141836    4.141    0.000   10.419    0.000 events.py:109(__init__)
  1260042    3.967    0.000   89.124    0.000 client_ws.py:264(__anext__)
  1071192    3.733    0.000    7.120    0.000 inspect.py:179(iscoroutinefunction)
  1070626    3.691    0.000   30.046    0.000 decoder.py:332(decode)
  1410700    3.651    0.000    4.134    0.000 base_events.py:375(create_future)
  1674726    3.561    0.000    5.785    0.000 re.py:271(_compile)
   179700    3.541    0.000  189.019    0.001 mongo.py:64(worker)
 24323091    3.540    0.000    3.540    0.000 {built-in method builtins.id}
  4684292    3.507    0.000  130.241    0.000 dataclasses.py:1024(<genexpr>)
 21669102    3.357    0.000    3.357    0.000 copy.py:190(_deepcopy_atomic)
  1070626    3.178    0.000   35.265    0.000 __init__.py:299(loads)
    58176    3.109    0.000  179.538    0.003 mongo.py:34(bulk_op)
  2141836    3.066    0.000    4.948    0.000 {built-in method _heapq.heappush}
  1070639    3.010    0.000   16.811    0.000 helpers.py:600(call_later)
  1260070    2.900    0.000    3.591    0.000 streams.py:528(read)
   119591    2.589    0.000   10.840    0.000 parser.py:59(__init__)
  1070639    2.563    0.000   24.298    0.000 client_ws.py:56(_reset_heartbeat)
   662462    2.548    0.000  531.649    0.001 {method 'run' of 'Context' objects}
  2141843    2.532    0.000    3.059    0.000 events.py:72(cancel)
  1070634    2.301    0.000    8.477    0.000 streams.py:563(feed_data)
  1070649    2.264    0.000    7.484    0.000 __init__.py:88(_do_exit)
   837137    2.253    0.000    2.506    0.000 parser.py:185(_parse_token)
   663801    2.235    0.000    4.481    0.000 copy.py:268(_reconstruct)
  2761101    2.211    0.000    3.437    0.000 base_events.py:615(time)
  1070644    2.133    0.000    6.175    0.000 streams.py:511(feed_data)
   785673    1.997    0.000    4.093    0.000 bitfinex.py:207(_handle_depth)
   662462    1.991    0.000  533.639    0.001 events.py:86(_run)
   457055    1.987    0.000    3.637    0.000 selector_events.py:558(_process_events)
  3411643    1.982    0.000    1.982    0.000 events.py:126(__lt__)
   119591    1.978    0.000   38.129    0.000 factory.py:32(get)
  1439759    1.934    0.000    5.896    0.000 {method 'set_result' of '_asyncio.Future' objects}
   207496    1.891    0.000   66.741    0.000 sslproto.py:516(data_received)
7115924/7113973    1.886    0.000    1.886    0.000 {built-in method builtins.len}
   207502    1.750    0.000   81.638    0.000 selector_events.py:808(_read_ready__data_received)
  6124026    1.741    0.000    1.741    0.000 base_events.py:1776(get_debug)
