         73528744 function calls (68824215 primitive calls) in 208.417 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    46881  109.279    0.002  109.279    0.002 {method 'control' of 'select.kqueue' objects}
4634486/46027   13.533    0.000   41.107    0.001 dataclasses.py:1016(_asdict_inner)
3930199/3834564    8.460    0.000   13.053    0.000 copy.py:132(deepcopy)
 15081036    4.678    0.000    4.717    0.000 {built-in method builtins.isinstance}
  4680512    3.919    0.000    6.516    0.000 dataclasses.py:981(_is_dataclass_instance)
  2445709    3.646    0.000   27.235    0.000 dataclasses.py:1026(<genexpr>)
   177919    3.381    0.000    3.381    0.000 {method 'format' of 'str' objects}
   135597    3.227    0.000    3.227    0.000 decoder.py:343(raw_decode)
   158230    2.356    0.000   13.231    0.000 client_ws.py:180(receive)
    63505    2.050    0.000    2.050    0.000 {method 'read' of '_ssl._SSLSocket' objects}
    38506    2.009    0.000    2.232    0.000 http_websocket.py:386(parse_frame)
  8293341    1.892    0.000    1.892    0.000 {method 'get' of 'dict' objects}
    26477    1.843    0.000    1.843    0.000 {method 'recv' of '_socket.socket' objects}
    38506    1.640    0.000    5.916    0.000 http_websocket.py:275(_feed_data)
    22634    1.308    0.000   37.574    0.002 __init__.py:209(connect)
    46837    1.190    0.000  207.652    0.004 base_events.py:1662(_run_once)
   271492    1.148    0.000    3.608    0.000 base_events.py:646(call_at)
4690951/4690917    0.995    0.000    0.998    0.000 {built-in method builtins.hasattr}
   753894    0.880    0.000   33.554    0.000 dataclasses.py:1024(<genexpr>)
   308879    0.878    0.000    1.113    0.000 events.py:39(__init__)
  3834570    0.839    0.000    0.839    0.000 copy.py:190(_deepcopy_atomic)
  4217758    0.823    0.000    0.823    0.000 {built-in method builtins.id}
    12862    0.748    0.000    1.467    0.000 parser.py:121(_generate_pattern_re)
   158234    0.735    0.000    1.315    0.000 streams.py:569(read)
   298872    0.706    0.000    0.706    0.000 {method 'match' of 're.Pattern' objects}
   103309    0.694    0.000    3.390    0.000 bitfinex.py:76(dispatch_ws_msg)
   158230    0.694    0.000   13.925    0.000 client_ws.py:264(__anext__)
    25009    0.693    0.000    3.077    0.000 sslproto.py:157(feed_ssldata)
   271492    0.671    0.000    1.627    0.000 events.py:109(__init__)
   135607    0.658    0.000    3.185    0.000 __init__.py:68(_do_enter)
    46837    0.650    0.000  110.082    0.002 selectors.py:553(select)
   271471    0.644    0.000    1.339    0.000 events.py:154(cancel)
   135597    0.606    0.000    4.552    0.000 decoder.py:332(decode)
   135850    0.605    0.000    1.115    0.000 inspect.py:179(iscoroutinefunction)
    11380    0.567    0.000    0.567    0.000 {method 'decompress' of 'zlib.Decompress' objects}
    13023    0.555    0.000   43.912    0.003 mongo.py:64(worker)
